Unnamed: 0,CH_SYMBOL,CH_SERIES,CH_MARKET_TYPE,CH_TRADE_HIGH_PRICE,CH_TRADE_LOW_PRICE,CH_OPENING_PRICE,CH_CLOSING_PRICE,CH_LAST_TRADED_PRICE,CH_PREVIOUS_CLS_PRICE,CH_TOT_TRADED_QTY,CH_TOT_TRADED_VAL,CH_52WEEK_HIGH_PRICE,CH_52WEEK_LOW_PRICE,CH_TOTAL_TRADES,CH_ISIN,CH_TIMESTAMP,VWAP,LOG_DIFF_CH_CLOSING_PRICE
994,TVSMOTOR,EQ,N,446.7,412.55,435.55,419.35,417.0,435.7,2266674,980509320.75,523.85,338.25,28280,INE494B01023,2020-03-02,432.58,
996,TVSMOTOR,EQ,N,430.0,408.5,422.0,422.15,425.2,419.35,1973306,825366409.7,523.85,338.25,21808,INE494B01023,2020-03-03,418.27,0.006654807685088748
1001,TVSMOTOR,EQ,N,428.0,400.6,424.0,409.85,409.0,422.15,2691474,1101882227.4,523.85,338.25,29300,INE494B01023,2020-03-04,409.4,-0.029569462016469927
1006,TVSMOTOR,EQ,N,417.65,406.2,413.7,413.95,413.5,409.85,1096006,451931994.6,523.85,338.25,13865,INE494B01023,2020-03-05,412.34,0.009953954485775185
1007,TVSMOTOR,EQ,N,416.5,396.25,404.7,414.1,411.3,413.95,1049346,429865620.65,523.85,338.25,13841,INE494B01023,2020-03-06,409.65,0.00036229696670719846
1008,TVSMOTOR,EQ,N,407.75,388.35,402.15,399.7,397.8,414.1,1370754,547933045.75,523.85,338.25,17171,INE494B01023,2020-03-09,399.73,-0.035393224834243675
1009,TVSMOTOR,EQ,N,409.4,391.75,397.25,403.8,404.0,399.7,1745488,702230528.55,523.85,338.25,20201,INE494B01023,2020-03-11,402.31,0.0102054401614593
1010,TVSMOTOR,EQ,N,395.95,366.0,387.95,388.2,390.0,403.8,1669093,636424786.45,523.85,338.25,21876,INE494B01023,2020-03-12,381.3,-0.03939903514382781
1011,TVSMOTOR,EQ,N,408.65,349.4,351.0,403.1,404.15,388.2,1617982,623185680.5,523.85,338.25,30612,INE494B01023,2020-03-13,385.16,0.037663999388210634
1012,TVSMOTOR,EQ,N,396.3,376.55,383.5,380.65,379.15,403.1,601756,232834006.95,523.85,338.25,20560,INE494B01023,2020-03-16,386.92,-0.057304352370898926
1013,TVSMOTOR,EQ,N,400.8,372.45,380.0,385.15,382.65,380.65,1202231,466871594.9,523.85,338.25,23908,INE494B01023,2020-03-17,388.34,0.011752551046753545
1014,TVSMOTOR,EQ,N,391.4,352.65,387.55,363.35,365.0,385.15,1727263,633938609.2,523.85,338.25,26237,INE494B01023,2020-03-18,367.02,-0.05826631173632979
1015,TVSMOTOR,EQ,N,386.55,341.0,341.0,363.2,363.8,363.35,1936414,714579335.1,523.85,338.25,39307,INE494B01023,2020-03-19,369.02,-0.000412910335506389
1016,TVSMOTOR,EQ,N,383.5,354.0,365.1,379.8,375.3,363.2,1987347,731225804.8,523.85,338.25,27097,INE494B01023,2020-03-20,367.94,0.044691151651046646
1017,TVSMOTOR,EQ,N,370.0,306.0,345.0,331.35,315.0,379.8,1619513,531511915.85,523.85,306.0,27822,INE494B01023,2020-03-23,328.19,-0.1364695798439497
1018,TVSMOTOR,EQ,N,354.75,310.5,310.5,339.4,339.2,331.35,2368750,789778969.6,523.85,306.0,60861,INE494B01023,2020-03-24,333.42,0.024004134265890542
1019,TVSMOTOR,EQ,N,347.85,325.15,330.0,332.5,325.3,339.4,2560659,861830869.45,523.85,306.0,62863,INE494B01023,2020-03-25,336.57,-0.020539492704217288
1020,TVSMOTOR,EQ,N,342.0,312.6,332.0,322.35,322.1,332.5,4672157,1511061836.8,523.85,306.0,94857,INE494B01023,2020-03-26,323.42,-0.031001948339279828
1021,TVSMOTOR,EQ,N,333.0,298.0,328.0,303.95,304.0,322.35,3061148,961854515.8,523.85,298.0,60689,INE494B01023,2020-03-27,314.21,-0.05877469756189768
1022,TVSMOTOR,EQ,N,300.75,287.0,295.0,292.8,296.0,303.95,1633641,479135525.35,523.85,287.0,32127,INE494B01023,2020-03-30,293.29,-0.037373432107575155
1023,TVSMOTOR,EQ,N,302.9,287.05,297.0,297.55,302.0,292.8,1026802,303567462.85,523.85,287.0,22239,INE494B01023,2020-03-31,295.64,0.016092496003705214
1024,TVSMOTOR,EQ,N,297.4,275.0,297.35,279.15,276.5,297.55,2763951,780076799.65,523.85,275.0,50108,INE494B01023,2020-04-01,282.23,-0.06383300633449185
1025,TVSMOTOR,EQ,N,277.95,251.5,275.05,252.95,251.5,279.15,3325587,861422637.95,523.85,251.5,56878,INE494B01023,2020-04-03,259.03,-0.09855743101842407
1026,TVSMOTOR,EQ,N,278.2,240.1,254.0,264.4,278.15,252.95,7046208,1785544677.75,523.85,240.1,65112,INE494B01023,2020-04-07,253.41,0.0442712672395853
1027,TVSMOTOR,EQ,N,288.0,261.0,261.1,285.9,285.5,264.4,6025235,1672231169.5,523.85,240.1,67223,INE494B01023,2020-04-08,277.54,0.07817899135073514
1028,TVSMOTOR,EQ,N,313.2,287.1,288.0,305.8,307.0,285.9,5331004,1600280082.25,523.85,240.1,75690,INE494B01023,2020-04-09,300.18,0.06728919416669576
968,TVSMOTOR,EQ,N,307.0,287.1,307.0,289.8,290.5,305.8,2420220,707288487.35,523.85,240.1,54654,INE494B01023,2020-04-13,292.24,-0.05374026360837991
969,TVSMOTOR,EQ,N,298.9,273.6,290.0,276.3,275.0,289.8,5152327,1478534416.95,523.85,240.1,64752,INE494B01023,2020-04-15,286.96,-0.0477037979572108
970,TVSMOTOR,EQ,N,280.0,265.2,267.1,276.2,277.55,276.3,6728570,1820518577.3,523.85,240.1,52962,INE494B01023,2020-04-16,270.57,-0.0003619909541789923
971,TVSMOTOR,EQ,N,303.8,283.2,290.0,300.95,300.05,276.2,9091683,2671469706.95,523.85,240.1,88999,INE494B01023,2020-04-17,293.84,0.08581889701858803
972,TVSMOTOR,EQ,N,321.95,303.05,321.95,307.55,306.4,300.95,7127739,2202086825.35,523.75,240.1,100403,INE494B01023,2020-04-20,308.95,0.021693537660597784
973,TVSMOTOR,EQ,N,314.0,293.3,303.1,311.05,308.5,307.55,3939566,1200410788.15,523.75,240.1,46147,INE494B01023,2020-04-21,304.71,0.011315995306651061
974,TVSMOTOR,EQ,N,311.45,296.2,308.0,302.55,304.1,311.05,6813699,2065234146.75,523.75,240.1,55828,INE494B01023,2020-04-22,303.1,-0.02770711789269864
975,TVSMOTOR,EQ,N,306.9,297.75,303.0,298.85,297.9,302.55,2771147,835290482.95,523.75,240.1,30165,INE494B01023,2020-04-23,301.42,-0.012304777798067157
976,TVSMOTOR,EQ,N,302.0,289.05,298.0,297.0,295.0,298.85,4163580,1224695948.4,523.75,240.1,42686,INE494B01023,2020-04-24,294.14,-0.006209636467563229
977,TVSMOTOR,EQ,N,305.4,295.25,298.4,299.3,299.25,297.0,2658365,795996464.25,511.75,240.1,42186,INE494B01023,2020-04-27,299.43,0.007714276055953206
978,TVSMOTOR,EQ,N,304.75,291.35,301.0,296.3,294.85,299.3,3994864,1183398064.3,511.75,240.1,48286,INE494B01023,2020-04-28,296.23,-0.010073960279133765
979,TVSMOTOR,EQ,N,311.0,292.1,300.9,307.9,309.5,296.3,4271122,1301029237.45,511.75,240.1,58650,INE494B01023,2020-04-29,304.61,0.03840260035093568
980,TVSMOTOR,EQ,N,334.1,311.2,313.5,328.35,326.5,307.9,8220150,2641622827.4,511.75,240.1,119600,INE494B01023,2020-04-30,321.36,0.06430505770652672
981,TVSMOTOR,EQ,N,312.8,304.1,307.0,310.45,311.2,328.35,2608630,805993198.7,511.75,240.1,38476,INE494B01023,2020-05-04,308.97,-0.05605725482608026
982,TVSMOTOR,EQ,N,321.9,306.0,315.0,308.35,308.15,310.45,2536054,797414764.15,511.75,240.1,38425,INE494B01023,2020-05-05,314.43,-0.006787356373399334
983,TVSMOTOR,EQ,N,330.0,301.55,303.0,323.4,323.2,308.35,5164142,1632255369.9,511.75,240.1,59822,INE494B01023,2020-05-06,316.07,0.047654445705504145
984,TVSMOTOR,EQ,N,328.9,316.3,321.0,320.75,319.1,323.4,3475640,1125872265.5,511.75,240.1,53639,INE494B01023,2020-05-07,323.93,-0.008227943647260538
985,TVSMOTOR,EQ,N,326.7,310.1,324.0,313.45,313.0,320.75,2425590,767435744.45,511.75,240.1,39283,INE494B01023,2020-05-08,316.39,-0.023022145775768443
986,TVSMOTOR,EQ,N,341.4,315.0,319.3,333.8,332.0,313.45,6946548,2308302252.15,511.75,240.1,100968,INE494B01023,2020-05-11,332.29,0.06290215350775785
987,TVSMOTOR,EQ,N,344.5,321.5,329.0,338.15,329.25,333.8,4095397,1353812946.1,511.75,240.1,58421,INE494B01023,2020-05-12,330.57,0.012947572793214235
988,TVSMOTOR,EQ,N,360.0,342.05,348.9,344.9,343.1,338.15,4259118,1485360229.75,511.75,240.1,52132,INE494B01023,2020-05-13,348.75,0.01976493592184614
989,TVSMOTOR,EQ,N,351.5,334.95,335.0,342.35,342.15,344.9,3315251,1139583510.25,511.75,240.1,45894,INE494B01023,2020-05-14,343.74,-0.007420914375723342
990,TVSMOTOR,EQ,N,346.0,333.6,343.55,336.1,336.0,342.35,2133151,727762174.9,511.75,240.1,26592,INE494B01023,2020-05-15,341.17,-0.018424870836011742
991,TVSMOTOR,EQ,N,341.0,302.5,341.0,305.8,305.0,336.1,4232380,1335278506.55,511.75,240.1,43588,INE494B01023,2020-05-18,315.49,-0.09447744123609869
992,TVSMOTOR,EQ,N,313.9,301.05,311.0,303.35,303.0,305.8,3170929,973851824.3,511.75,240.1,41766,INE494B01023,2020-05-19,307.12,-0.008044039106654743
993,TVSMOTOR,EQ,N,310.9,300.55,304.0,309.0,309.05,303.35,2697730,826191782.4,511.75,240.1,33366,INE494B01023,2020-05-20,306.25,0.01845402250943895
941,TVSMOTOR,EQ,N,326.95,312.05,312.05,315.8,315.65,309.0,5528411,1770513052.25,511.75,240.1,72134,INE494B01023,2020-05-21,320.26,0.021767824923795587
942,TVSMOTOR,EQ,N,319.0,308.0,312.0,314.15,314.2,315.8,2202580,688810477.1,511.75,240.1,26397,INE494B01023,2020-05-22,312.73,-0.005238522972585535
943,TVSMOTOR,EQ,N,324.8,310.3,316.95,322.5,321.7,314.15,3176296,1008010670.9,511.75,240.1,45791,INE494B01023,2020-05-26,317.35,0.026232557386871136
944,TVSMOTOR,EQ,N,325.0,308.25,322.0,323.05,323.15,322.5,4252554,1348764200.35,511.75,240.1,44723,INE494B01023,2020-05-27,317.17,0.001703973768347744
945,TVSMOTOR,EQ,N,337.4,323.05,325.0,333.1,331.75,323.05,4800722,1582333131.15,511.75,240.1,51994,INE494B01023,2020-05-28,329.6,0.030635635195459088
946,TVSMOTOR,EQ,N,344.0,322.35,330.0,335.9,336.05,333.1,8202847,2751475622.35,511.75,240.1,88443,INE494B01023,2020-05-29,335.43,0.008370751418612876
947,TVSMOTOR,EQ,N,354.85,341.05,342.0,352.0,351.85,335.9,4624929,1622373211.8,511.75,240.1,67383,INE494B01023,2020-06-01,350.79,0.04681767897985001
948,TVSMOTOR,EQ,N,372.95,348.6,349.0,364.1,364.35,352.0,7608515,2774298175.1,511.75,240.1,95493,INE494B01023,2020-06-02,364.63,0.033797379583290876
949,TVSMOTOR,EQ,N,372.5,352.75,371.1,355.55,355.95,364.1,2931903,1061884490.55,511.75,240.1,35858,INE494B01023,2020-06-03,362.18,-0.023762668851860624
950,TVSMOTOR,EQ,N,363.0,350.35,355.0,355.25,355.9,355.55,2252915,800815030.3,511.75,240.1,32520,INE494B01023,2020-06-04,355.46,-0.0008441193523172075
951,TVSMOTOR,EQ,N,362.9,353.65,359.85,359.15,358.1,355.25,2134564,764607672.65,511.75,240.1,26793,INE494B01023,2020-06-05,358.2,0.010918361543600597
952,TVSMOTOR,EQ,N,368.35,349.55,364.85,352.75,352.0,359.15,2263474,811528710.15,504.0,240.1,28319,INE494B01023,2020-06-08,358.53,-0.017980537787886774
953,TVSMOTOR,EQ,N,357.15,347.1,354.5,351.25,351.35,352.75,2208093,775339035.55,504.0,240.1,37426,INE494B01023,2020-06-09,351.14,-0.004261370084968519
954,TVSMOTOR,EQ,N,361.35,342.15,353.0,343.85,344.35,351.25,3234900,1126606427.0,504.0,240.1,38680,INE494B01023,2020-06-10,348.27,-0.02129270488210988
955,TVSMOTOR,EQ,N,348.7,329.35,345.0,332.2,329.95,343.85,3377821,1139249081.05,504.0,240.1,44559,INE494B01023,2020-06-11,337.27,-0.03446831858665078
956,TVSMOTOR,EQ,N,348.3,307.2,307.2,345.35,344.15,332.2,4669968,1555351937.8,504.0,240.1,47706,INE494B01023,2020-06-12,333.05,0.038821198355787345
957,TVSMOTOR,EQ,N,350.5,336.5,340.35,344.2,343.4,345.35,2571638,881718346.6,504.0,240.1,30542,INE494B01023,2020-06-15,342.86,-0.003335511757542875
958,TVSMOTOR,EQ,N,358.4,347.0,348.0,354.15,352.85,344.2,3865598,1368990857.25,504.0,240.1,45454,INE494B01023,2020-06-16,354.15,0.028497668422192923
959,TVSMOTOR,EQ,N,361.0,348.9,352.0,359.45,359.0,354.15,3022886,1075549313.05,504.0,240.1,43517,INE494B01023,2020-06-17,355.8,0.01485453323024899
960,TVSMOTOR,EQ,N,364.9,358.15,360.0,363.75,364.0,359.45,2226112,805612317.0,504.0,240.1,28323,INE494B01023,2020-06-18,361.89,0.011891733055821696
961,TVSMOTOR,EQ,N,374.0,361.85,365.0,368.95,367.1,363.75,2520338,929852974.6,504.0,240.1,50526,INE494B01023,2020-06-19,368.94,0.014194315018673187
962,TVSMOTOR,EQ,N,387.0,367.1,367.1,382.9,383.2,368.95,2751257,1046642307.3,504.0,240.1,37594,INE494B01023,2020-06-22,380.42,0.03711272497887297
963,TVSMOTOR,EQ,N,387.0,379.35,385.9,381.8,382.6,382.9,1973691,755829907.35,504.0,240.1,23968,INE494B01023,2020-06-23,382.95,-0.0028769471916012535
964,TVSMOTOR,EQ,N,390.95,378.7,387.6,380.6,383.0,381.8,2327148,895182302.6,504.0,240.1,38641,INE494B01023,2020-06-24,384.67,-0.0031479564295979756
965,TVSMOTOR,EQ,N,392.8,375.1,376.1,383.3,380.45,380.6,4289982,1645933293.6,504.0,240.1,45172,INE494B01023,2020-06-25,383.67,0.007069017524459653
966,TVSMOTOR,EQ,N,387.9,379.05,387.9,381.65,381.8,383.3,1593654,609593423.05,504.0,240.1,33433,INE494B01023,2020-06-26,382.51,-0.0043140141420296985
967,TVSMOTOR,EQ,N,383.65,374.0,380.9,378.3,376.8,381.65,1486836,562325449.95,504.0,240.1,25060,INE494B01023,2020-06-29,378.2,-0.008816426605496197
911,TVSMOTOR,EQ,N,386.35,375.45,382.0,378.35,375.6,378.3,1360437,519115669.3,504.0,240.1,17683,INE494B01023,2020-06-30,381.58,0.00013216150154704565
912,TVSMOTOR,EQ,N,386.5,377.15,378.5,383.85,383.1,378.35,1458044,557154083.55,504.0,240.1,18135,INE494B01023,2020-07-01,382.12,0.014432158133377726
913,TVSMOTOR,EQ,N,389.95,381.2,387.0,385.5,385.0,383.85,2343732,903808788.05,504.0,240.1,39629,INE494B01023,2020-07-02,385.63,0.004289341729475815
914,TVSMOTOR,EQ,N,397.7,385.05,387.3,395.5,396.65,385.5,3171494,1247752595.3,504.0,240.1,41133,INE494B01023,2020-07-03,393.43,0.02560959420432507
915,TVSMOTOR,EQ,N,412.3,397.5,399.95,408.25,408.1,395.5,3153500,1275623583.2,504.0,240.1,39236,INE494B01023,2020-07-06,404.51,0.031728944642865464
916,TVSMOTOR,EQ,N,411.1,397.55,410.0,400.1,398.05,408.25,2369260,953961407.9,504.0,240.1,30090,INE494B01023,2020-07-07,402.64,-0.020165215987384855
917,TVSMOTOR,EQ,N,402.45,383.0,402.3,384.95,384.5,400.1,3319452,1289991708.15,504.0,240.1,58401,INE494B01023,2020-07-08,388.62,-0.038601060139130894
918,TVSMOTOR,EQ,N,390.85,381.5,390.0,389.7,389.7,384.95,2337807,903350481.4,504.0,240.1,33664,INE494B01023,2020-07-09,386.41,0.012263756620605193
919,TVSMOTOR,EQ,N,397.8,383.8,388.9,385.7,386.0,389.7,2589115,1008697657.5,504.0,240.1,35824,INE494B01023,2020-07-10,389.59,-0.01031734713048138
920,TVSMOTOR,EQ,N,391.75,384.05,387.6,389.55,390.0,385.7,1218951,473788923.8,504.0,240.1,17840,INE494B01023,2020-07-13,388.69,0.009932361562684733
921,TVSMOTOR,EQ,N,389.15,377.0,383.0,382.5,381.0,389.55,1859411,709925036.95,504.0,240.1,26908,INE494B01023,2020-07-14,381.8,-0.018263573510276743
922,TVSMOTOR,EQ,N,396.55,383.1,384.8,389.75,389.2,382.5,2249374,879624082.35,504.0,240.1,34370,INE494B01023,2020-07-15,391.05,0.018776854671295418
923,TVSMOTOR,EQ,N,394.8,382.25,394.8,391.5,392.0,389.75,1778321,694990128.95,504.0,240.1,26524,INE494B01023,2020-07-16,390.81,0.004480007492971616
924,TVSMOTOR,EQ,N,400.5,388.75,392.15,389.95,390.4,391.5,3084182,1215263108.05,504.0,240.1,60200,INE494B01023,2020-07-17,394.03,-0.003966989654350606
925,TVSMOTOR,EQ,N,399.85,387.25,388.4,398.8,398.2,389.95,1187719,470541333.05,504.0,240.1,18270,INE494B01023,2020-07-20,396.17,0.022441512311176304
926,TVSMOTOR,EQ,N,410.95,401.0,401.4,402.95,402.3,398.8,4863488,1980424087.95,504.0,240.1,76226,INE494B01023,2020-07-21,407.2,0.010352446682837524
927,TVSMOTOR,EQ,N,405.5,390.0,405.5,397.85,397.85,402.95,2267075,896745881.4,504.0,240.1,27039,INE494B01023,2020-07-22,395.55,-0.012737434946976656
928,TVSMOTOR,EQ,N,408.65,395.85,398.75,405.75,407.25,397.85,2166455,873796367.25,504.0,240.1,24464,INE494B01023,2020-07-23,403.33,0.01966215657115633
929,TVSMOTOR,EQ,N,404.55,395.0,403.0,398.15,397.4,405.75,1473770,589515094.15,504.0,240.1,15316,INE494B01023,2020-07-24,400.0,-0.01890838769124681
930,TVSMOTOR,EQ,N,400.2,390.6,398.15,397.1,398.05,398.15,883920,349552295.65,504.0,240.1,11400,INE494B01023,2020-07-27,395.46,-0.002640680566247333
931,TVSMOTOR,EQ,N,409.0,395.4,397.0,406.25,405.35,397.1,2396715,971978527.45,504.0,240.1,28076,INE494B01023,2020-07-28,405.55,0.02278059550674083
932,TVSMOTOR,EQ,N,414.5,397.45,406.0,402.95,401.5,406.25,2809299,1144626799.95,504.0,240.1,40235,INE494B01023,2020-07-29,407.44,-0.008156248873426364
933,TVSMOTOR,EQ,N,407.9,383.7,398.0,402.15,405.4,402.95,6072262,2422435460.05,504.0,240.1,61700,INE494B01023,2020-07-30,398.93,-0.0019873314204428283
934,TVSMOTOR,EQ,N,405.95,385.0,404.65,387.5,389.0,402.15,2415056,954421707.55,504.0,240.1,29876,INE494B01023,2020-07-31,395.2,-0.03710930455667594
935,TVSMOTOR,EQ,N,399.15,388.05,392.0,396.2,397.35,387.5,4124285,1626793105.6,504.0,240.1,42472,INE494B01023,2020-08-03,394.44,0.022203285471048773
936,TVSMOTOR,EQ,N,404.2,391.75,397.35,398.95,399.5,396.2,2926555,1167575074.1,504.0,240.1,37931,INE494B01023,2020-08-04,398.96,0.006916961489839224
937,TVSMOTOR,EQ,N,412.0,400.15,404.8,409.35,411.55,398.95,2215778,903195569.05,504.0,240.1,35117,INE494B01023,2020-08-05,407.62,0.025734440068167608
938,TVSMOTOR,EQ,N,422.0,403.45,415.0,418.85,421.7,409.35,3667202,1511899415.3,504.0,240.1,46900,INE494B01023,2020-08-06,412.28,0.022942324777361023
939,TVSMOTOR,EQ,N,429.9,415.15,419.0,421.5,421.15,418.85,5894380,2501629564.45,504.0,240.1,80727,INE494B01023,2020-08-07,424.41,0.006306916842091503
881,TVSMOTOR,EQ,N,426.95,415.2,425.0,418.65,418.35,421.5,2082987,877282061.0,504.0,240.1,42334,INE494B01023,2020-08-10,421.17,-0.006784528791468958
882,TVSMOTOR,EQ,N,424.0,413.15,419.2,416.9,416.5,418.65,2206472,919845010.05,504.0,240.1,27738,INE494B01023,2020-08-11,416.88,-0.004188863763689987
883,TVSMOTOR,EQ,N,422.8,409.05,416.7,417.65,418.0,416.9,3892666,1630100366.85,504.0,240.1,49819,INE494B01023,2020-08-12,418.76,0.0017973763151637456
884,TVSMOTOR,EQ,N,436.4,418.0,421.3,430.1,429.5,417.65,5840862,2501844257.85,504.0,240.1,70420,INE494B01023,2020-08-13,428.33,0.029373978587775795
885,TVSMOTOR,EQ,N,434.4,415.6,432.0,418.1,417.05,430.1,2673256,1132509977.05,504.0,240.1,33613,INE494B01023,2020-08-14,423.64,-0.0282971014271709
886,TVSMOTOR,EQ,N,430.0,415.05,430.0,426.8,425.65,418.1,2228221,946563397.6,504.0,240.1,29034,INE494B01023,2020-08-17,424.81,0.020594881065078674
887,TVSMOTOR,EQ,N,435.95,423.7,426.5,433.4,435.75,426.8,2196026,946581471.3,504.0,240.1,26959,INE494B01023,2020-08-18,431.04,0.015345569674660275
888,TVSMOTOR,EQ,N,442.2,433.0,435.0,434.65,435.0,433.4,1802766,787633284.2,504.0,240.1,23796,INE494B01023,2020-08-19,436.9,0.0028800204228147663
889,TVSMOTOR,EQ,N,452.95,427.55,431.55,450.05,450.0,434.65,3305887,1466512243.35,504.0,240.1,42723,INE494B01023,2020-08-20,443.61,0.03481757817802045
890,TVSMOTOR,EQ,N,461.5,446.75,452.55,453.3,452.65,450.05,3250392,1473331710.45,504.0,240.1,40112,INE494B01023,2020-08-21,453.28,0.007195470243710034
891,TVSMOTOR,EQ,N,456.0,447.15,456.0,448.8,447.8,453.3,2651967,1197174185.5,504.0,240.1,30139,INE494B01023,2020-08-24,451.43,-0.009976803738317663
892,TVSMOTOR,EQ,N,460.05,441.75,450.0,445.55,446.5,448.8,2428730,1093090182.5,504.0,240.1,30997,INE494B01023,2020-08-25,450.07,-0.007267880149757211
893,TVSMOTOR,EQ,N,477.0,458.2,469.45,467.5,467.0,445.55,15082270,7055597394.5,504.0,240.1,157049,INE494B01023,2020-08-26,467.81,0.04808987467001291
894,TVSMOTOR,EQ,N,467.95,455.0,467.45,459.15,459.8,467.5,4260029,1952016005.15,504.0,240.1,45590,INE494B01023,2020-08-27,458.22,-0.018022394669210406
895,TVSMOTOR,EQ,N,463.0,448.35,459.0,449.75,451.0,459.15,2669472,1210936551.95,504.0,240.1,44066,INE494B01023,2020-08-28,453.62,-0.02068508122888879
896,TVSMOTOR,EQ,N,454.9,429.5,453.0,432.85,431.0,449.75,3073233,1346523069.85,504.0,240.1,39378,INE494B01023,2020-08-31,438.15,-0.038300625168860236
897,TVSMOTOR,EQ,N,442.5,428.0,437.45,440.4,441.85,432.85,2704221,1180273748.1,504.0,240.1,35206,INE494B01023,2020-09-01,436.46,0.017292157186742152
898,TVSMOTOR,EQ,N,441.4,427.0,435.1,437.1,437.2,440.4,4147271,1794073268.2,504.0,240.1,55303,INE494B01023,2020-09-02,432.59,-0.0075214029792558534
899,TVSMOTOR,EQ,N,445.55,433.7,441.5,435.35,435.15,437.1,2264585,993266213.85,504.0,240.1,33077,INE494B01023,2020-09-03,438.61,-0.004011696594644398
900,TVSMOTOR,EQ,N,442.0,423.4,429.35,433.9,433.35,435.35,2765538,1205174479.7,504.0,240.1,38924,INE494B01023,2020-09-04,435.78,-0.003336212470319566
901,TVSMOTOR,EQ,N,441.5,431.05,434.9,440.4,439.5,433.9,2519913,1100226723.5,504.0,240.1,28262,INE494B01023,2020-09-07,436.61,0.014869312044219818
902,TVSMOTOR,EQ,N,441.3,430.55,440.4,434.0,431.2,440.4,1759550,769299179.2,504.0,240.1,18973,INE494B01023,2020-09-08,437.21,-0.014638870748119537
903,TVSMOTOR,EQ,N,442.0,425.6,430.0,438.15,439.0,434.0,2166229,939557119.95,504.0,240.1,23063,INE494B01023,2020-09-09,433.73,0.009516783401454454
904,TVSMOTOR,EQ,N,445.7,430.2,445.7,437.9,438.05,438.15,2276992,992784781.15,504.0,240.1,28706,INE494B01023,2020-09-10,436.01,-0.0005707436945066036
905,TVSMOTOR,EQ,N,446.95,435.0,435.0,444.25,444.4,437.9,2483654,1096270917.3,504.0,240.1,33852,INE494B01023,2020-09-11,441.39,0.014396893227408114
906,TVSMOTOR,EQ,N,458.9,446.25,448.2,456.6,455.4,444.25,2660236,1203456046.05,504.0,240.1,33261,INE494B01023,2020-09-14,452.39,0.027420267060934478
907,TVSMOTOR,EQ,N,460.0,447.65,458.0,455.45,455.05,456.6,1761274,798648088.45,504.0,240.1,21149,INE494B01023,2020-09-15,453.45,-0.0025217929048766408
908,TVSMOTOR,EQ,N,472.0,453.8,455.45,462.15,462.85,455.45,4488424,2090126664.45,504.0,240.1,61701,INE494B01023,2020-09-16,465.67,0.014603572519967578
853,TVSMOTOR,EQ,N,465.6,454.2,460.0,457.05,457.6,462.15,1436996,659819142.7,504.0,240.1,21535,INE494B01023,2020-09-17,459.17,-0.011096719610958594
854,TVSMOTOR,EQ,N,468.0,454.5,461.2,457.3,456.3,457.05,2203254,1017636038.25,504.0,240.1,31914,INE494B01023,2020-09-18,461.88,0.0005468365641814188
855,TVSMOTOR,EQ,N,459.75,446.3,457.3,453.5,447.95,457.3,2557312,1160712337.45,504.0,240.1,28872,INE494B01023,2020-09-21,453.88,-0.008344361108817644
856,TVSMOTOR,EQ,N,450.25,432.6,448.5,442.85,445.5,453.5,2365716,1044077032.15,504.0,240.1,37075,INE494B01023,2020-09-22,441.34,-0.02376415729959991
857,TVSMOTOR,EQ,N,450.0,434.0,449.0,442.4,441.15,442.85,2798035,1234765041.85,504.0,240.1,32212,INE494B01023,2020-09-23,441.3,-0.0010166620474665322
858,TVSMOTOR,EQ,N,439.55,426.0,439.55,435.25,434.0,442.4,1872522,811741877.95,504.0,240.1,21548,INE494B01023,2020-09-24,433.5,-0.01629387155982709
859,TVSMOTOR,EQ,N,450.9,431.6,438.5,446.95,447.0,435.25,1880898,830049000.5,504.0,240.1,23256,INE494B01023,2020-09-25,441.3,0.02652615288556337
860,TVSMOTOR,EQ,N,474.25,450.95,452.0,471.45,474.0,446.95,3661514,1702783681.75,504.0,240.1,54030,INE494B01023,2020-09-28,465.05,0.05336632037782518
861,TVSMOTOR,EQ,N,480.95,468.2,475.0,470.25,470.8,471.45,3186585,1508773634.75,504.0,240.1,37823,INE494B01023,2020-09-29,473.48,-0.002548583730546561
862,TVSMOTOR,EQ,N,479.35,464.85,468.35,468.3,470.4,470.25,3188617,1500957248.4,504.0,240.1,39772,INE494B01023,2020-09-30,470.72,-0.004155351991643741
863,TVSMOTOR,EQ,N,489.9,472.0,473.0,479.9,480.4,468.3,4887074,2361147438.25,504.0,240.1,54586,INE494B01023,2020-10-01,483.14,0.02446863267470345
864,TVSMOTOR,EQ,N,485.2,464.95,485.0,473.55,472.75,479.9,4368513,2066613008.8,504.0,240.1,44487,INE494B01023,2020-10-05,473.07,-0.013320245192089075
865,TVSMOTOR,EQ,N,482.95,469.8,476.0,471.6,470.15,473.55,2769276,1318419716.15,504.0,240.1,28359,INE494B01023,2020-10-06,476.09,-0.004126335008894699
866,TVSMOTOR,EQ,N,482.8,467.0,470.5,478.75,481.35,471.6,2103061,999349666.95,504.0,240.1,27337,INE494B01023,2020-10-07,475.19,0.015047371831639289
867,TVSMOTOR,EQ,N,486.0,470.3,481.55,475.2,471.8,478.75,3911153,1867614586.55,504.0,240.1,32655,INE494B01023,2020-10-08,477.51,-0.0074427724464198874
868,TVSMOTOR,EQ,N,479.15,467.65,474.95,471.5,472.0,475.2,1863792,878975059.15,504.0,240.1,27414,INE494B01023,2020-10-09,471.61,-0.007816665974923254
