DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,67.25,70.1,67.25,67.5,68.0,67.85,68.67,80.5,44.0,88154,6053264.7,651,WALCHANNAG
2022-12-29,EQ,67.05,69.05,66.65,68.3,67.9,67.5,67.98,80.5,44.0,99501,6763900.9,813,WALCHANNAG
2022-12-28,EQ,67.15,68.75,67.15,67.05,68.35,68.3,68.09,80.5,44.0,78484,5343744.55,777,WALCHANNAG
2022-12-27,EQ,68.0,68.5,66.5,67.4,67.5,67.05,67.39,80.5,44.0,160653,10826059.45,1073,WALCHANNAG
2022-12-26,EQ,64.2,67.4,62.05,64.2,67.4,67.4,65.87,80.5,44.0,181960,11984805.5,1319,WALCHANNAG
2022-12-23,EQ,66.6,67.0,64.2,67.55,64.2,64.2,64.69,80.5,44.0,177075,11455805.95,1063,WALCHANNAG
2022-12-22,EQ,70.0,70.6,65.55,68.95,66.7,67.55,66.74,80.5,44.0,298695,19933711.95,1889,WALCHANNAG
2022-12-21,EQ,72.15,73.7,68.95,72.55,68.95,68.95,70.04,80.5,44.0,277305,19421567.3,1311,WALCHANNAG
2022-12-20,EQ,72.5,74.55,72.0,72.35,72.3,72.55,72.76,80.5,39.45,119889,8722976.75,1084,WALCHANNAG
2022-12-19,EQ,72.75,73.4,70.35,73.65,72.5,72.35,71.91,80.5,39.45,138649,9970071.1,1395,WALCHANNAG
2022-12-16,EQ,73.65,75.85,72.65,76.0,73.75,73.65,74.1,80.5,39.45,168773,12506486.3,1652,WALCHANNAG
2022-12-15,EQ,79.65,79.65,75.5,78.4,76.0,76.0,77.03,80.5,39.45,186489,14365503.35,2129,WALCHANNAG
2022-12-14,EQ,80.5,80.5,77.1,76.7,78.5,78.4,79.84,80.5,39.45,1420375,113406959.8,5206,WALCHANNAG
2022-12-13,EQ,74.95,76.7,74.05,73.05,76.7,76.7,75.91,76.7,39.45,349956,26564582.6,1469,WALCHANNAG
2022-12-12,EQ,70.0,73.05,69.25,69.6,73.05,73.05,72.44,75.75,39.45,329541,23873512.0,1894,WALCHANNAG
2022-12-09,EQ,73.3,73.3,68.85,72.4,69.35,69.6,70.72,75.75,39.45,184378,13038972.95,1858,WALCHANNAG
2022-12-08,EQ,71.25,73.4,71.05,71.8,72.3,72.4,72.49,75.75,39.45,360408,26125777.7,1769,WALCHANNAG
2022-12-07,EQ,74.0,75.75,69.5,73.1,72.5,71.8,71.86,75.75,39.45,457222,32857302.65,3455,WALCHANNAG
2022-12-06,EQ,72.3,73.1,66.55,69.65,73.1,73.1,72.82,75.7,39.45,941290,68542904.75,3065,WALCHANNAG
2022-09-12,EQ,61.05,64.1,61.05,61.05,64.1,64.1,63.18,75.7,39.45,200456,12665095.3,1184,WALCHANNAG
2022-09-09,EQ,65.0,65.0,60.75,63.8,61.25,61.05,62.29,75.7,39.45,375316,23376808.35,2496,WALCHANNAG
2022-09-08,EQ,65.25,66.4,63.25,65.1,63.45,63.8,64.65,75.7,39.45,164814,10655921.45,1348,WALCHANNAG
2022-09-07,EQ,63.6,67.4,63.6,64.8,64.7,65.1,65.29,75.7,39.45,223508,14593843.85,1847,WALCHANNAG
2022-09-06,EQ,66.3,67.05,63.55,65.75,64.9,64.8,64.9,75.7,39.45,293120,19024913.1,1932,WALCHANNAG
2022-09-05,EQ,70.8,70.8,65.25,68.1,65.4,65.75,68.26,75.7,39.45,1047418,71491595.1,5501,WALCHANNAG
2022-09-02,EQ,65.05,68.1,63.6,64.9,68.1,68.1,67.56,75.7,39.45,1218202,82295952.45,2704,WALCHANNAG
2022-09-01,EQ,67.0,69.15,64.9,68.3,64.9,64.9,66.12,75.7,39.45,980697,64848038.6,3985,WALCHANNAG
2022-08-30,EQ,70.0,70.0,63.4,66.7,67.3,68.3,67.51,75.7,39.45,4369068,294959453.75,12950,WALCHANNAG
2022-08-29,EQ,59.9,66.7,59.8,60.65,66.7,66.7,64.29,75.7,39.45,925090,59475291.7,3248,WALCHANNAG
2022-08-26,EQ,59.95,61.3,56.0,55.75,61.3,60.65,58.95,75.7,39.45,2004393,118161214.65,11710,WALCHANNAG
2022-08-25,EQ,55.75,55.75,55.75,50.7,55.75,55.75,55.75,75.7,39.45,264347,14737345.25,637,WALCHANNAG
2022-08-24,EQ,50.1,51.7,49.9,50.25,50.8,50.7,50.98,75.7,39.45,103782,5291311.2,830,WALCHANNAG
2022-08-23,EQ,49.5,50.85,49.5,49.45,50.4,50.25,50.24,75.7,39.45,83209,4180398.05,932,WALCHANNAG
2022-08-22,EQ,50.1,50.55,49.1,50.65,49.5,49.45,49.77,75.7,39.45,93692,4662615.55,1011,WALCHANNAG
2022-08-19,EQ,50.7,51.3,50.0,50.2,50.75,50.65,50.66,75.7,39.45,125611,6363087.95,1184,WALCHANNAG
2022-08-18,EQ,51.0,52.5,49.85,50.5,50.4,50.2,51.12,75.7,39.45,431516,22058747.65,3008,WALCHANNAG
2022-08-17,EQ,52.5,54.0,50.0,52.5,50.5,50.5,51.41,75.7,39.45,305660,15714606.0,2160,WALCHANNAG
2022-08-16,EQ,52.0,53.8,50.8,51.85,52.2,52.5,52.2,75.7,39.45,218069,11382352.45,2253,WALCHANNAG
2022-08-12,EQ,52.7,52.7,51.5,51.9,51.8,51.85,52.14,75.7,39.45,45314,2362562.4,619,WALCHANNAG
2022-08-11,EQ,52.65,53.0,51.75,52.25,51.9,51.9,52.21,75.7,39.45,64767,3381689.5,743,WALCHANNAG
2022-08-10,EQ,52.1,53.05,51.8,52.1,52.35,52.25,52.5,75.7,39.45,51642,2711132.5,624,WALCHANNAG
2022-08-08,EQ,52.55,53.85,51.7,53.25,52.6,52.1,52.51,75.7,39.45,88252,4634446.85,871,WALCHANNAG
2022-08-05,EQ,54.0,54.0,53.0,52.9,53.2,53.25,53.38,75.7,39.45,32945,1758585.1,479,WALCHANNAG
2022-08-04,EQ,52.4,53.95,52.2,54.05,53.1,52.9,52.92,75.7,39.45,111470,5898854.3,1029,WALCHANNAG
2022-08-03,EQ,56.35,56.35,54.05,56.85,54.05,54.05,54.59,75.7,39.45,72982,3984001.35,538,WALCHANNAG
2022-08-02,EQ,53.45,56.85,53.45,54.15,56.85,56.85,56.13,75.7,39.45,294376,16524431.8,1866,WALCHANNAG
2022-08-01,EQ,54.4,54.65,53.5,53.6,53.85,54.15,54.16,75.7,39.45,49509,2681341.2,761,WALCHANNAG
2022-07-29,EQ,54.2,54.75,53.25,53.45,53.55,53.6,53.72,75.7,39.45,43985,2362817.65,492,WALCHANNAG
2022-07-28,EQ,53.85,54.4,52.85,53.55,53.7,53.45,53.59,75.7,39.45,99004,5305371.25,780,WALCHANNAG
2022-07-27,EQ,53.3,54.0,53.0,53.05,53.5,53.55,53.62,75.7,39.45,56172,3011865.6,618,WALCHANNAG
2022-07-26,EQ,53.35,54.5,52.8,52.95,52.95,53.05,53.56,75.7,39.45,57896,3100640.75,603,WALCHANNAG
2022-07-25,EQ,54.6,54.6,52.7,54.3,53.0,52.95,53.23,75.7,39.45,33741,1796170.4,564,WALCHANNAG
2022-07-22,EQ,55.85,55.85,54.2,55.2,54.3,54.3,54.74,75.7,39.45,45008,2463787.5,511,WALCHANNAG
2022-07-21,EQ,56.5,57.3,54.8,55.65,55.5,55.2,55.98,75.7,39.45,112076,6274037.25,1625,WALCHANNAG
2022-07-20,EQ,53.7,55.75,53.5,53.1,55.75,55.65,55.11,75.7,39.45,211062,11631176.35,1514,WALCHANNAG
2022-07-19,EQ,53.25,53.8,52.45,52.55,53.05,53.1,53.08,75.7,39.45,47453,2518969.2,614,WALCHANNAG
2022-07-18,EQ,53.45,54.0,52.0,52.1,52.6,52.55,53.09,75.7,39.45,118273,6278803.4,1262,WALCHANNAG
2022-07-15,EQ,52.0,53.0,52.0,52.15,52.05,52.1,52.31,75.7,39.45,79037,4134053.9,711,WALCHANNAG
2022-07-14,EQ,51.05,53.4,50.1,51.25,52.2,52.15,52.14,75.7,39.45,101112,5272062.85,1044,WALCHANNAG
2022-07-13,EQ,52.15,52.15,50.5,51.65,51.1,51.25,51.37,75.7,39.45,38510,1978445.95,492,WALCHANNAG
2022-07-12,EQ,52.3,53.25,51.6,52.35,51.6,51.65,52.42,75.7,39.45,107676,5644059.5,679,WALCHANNAG
2022-07-11,EQ,51.15,53.2,51.05,51.15,52.0,52.35,52.1,75.7,39.45,56133,2924798.3,689,WALCHANNAG
2022-07-08,EQ,51.75,51.75,50.55,51.2,51.1,51.15,51.05,83.6,39.45,23388,1193968.25,363,WALCHANNAG
2022-07-07,EQ,50.5,51.35,50.2,49.9,51.3,51.2,51.02,83.6,39.45,29310,1495299.25,378,WALCHANNAG
2022-07-06,EQ,51.25,51.25,49.1,50.45,50.0,49.9,50.04,83.6,39.45,69744,3489772.65,651,WALCHANNAG
2022-07-05,EQ,51.45,51.8,50.2,51.1,50.55,50.45,50.89,83.6,39.45,57308,2916676.65,872,WALCHANNAG
2022-07-04,EQ,51.4,51.5,50.6,50.35,50.8,51.1,50.97,86.2,39.45,26425,1346800.05,320,WALCHANNAG
2022-07-01,EQ,52.1,52.1,49.45,52.05,50.35,50.35,50.19,86.2,39.45,73397,3683973.9,974,WALCHANNAG
2022-06-30,EQ,53.0,53.55,51.9,52.4,52.3,52.05,52.51,92.0,39.45,31267,1641923.8,423,WALCHANNAG
2022-06-29,EQ,51.25,53.85,50.2,51.35,52.25,52.4,52.87,92.0,39.45,108879,5756317.8,1518,WALCHANNAG
2022-06-28,EQ,51.8,52.3,51.05,51.6,51.35,51.35,51.49,92.0,39.45,23630,1216723.7,369,WALCHANNAG
2022-06-27,EQ,51.85,52.55,51.3,51.45,51.65,51.6,51.89,92.0,39.45,27929,1449130.55,395,WALCHANNAG
2022-06-24,EQ,52.5,52.85,49.1,50.45,51.8,51.45,51.19,92.0,39.45,60400,3091919.45,598,WALCHANNAG
2022-06-23,EQ,50.05,51.65,50.05,50.05,50.2,50.45,50.59,92.0,39.45,35966,1819673.55,356,WALCHANNAG
2022-06-22,EQ,51.45,51.6,49.7,51.45,50.0,50.05,50.37,92.0,39.45,19533,983794.6,324,WALCHANNAG
2022-06-21,EQ,51.0,51.6,49.1,49.15,51.5,51.45,50.79,92.0,39.45,54077,2746615.25,464,WALCHANNAG
2022-04-20,EQ,69.0,72.1,68.85,68.4,69.95,70.1,70.64,92.0,39.45,771276,54484709.05,8176,WALCHANNAG
2022-04-19,EQ,71.5,73.4,65.0,72.1,66.7,68.4,71.02,92.0,39.45,1161801,82509071.8,9424,WALCHANNAG
2022-04-18,EQ,73.0,75.7,70.6,73.75,72.2,72.1,73.34,92.0,39.45,2292877,168156869.0,20612,WALCHANNAG
2022-04-13,EQ,69.7,75.45,68.0,66.15,74.25,73.75,72.44,92.0,39.45,3911177,283321988.05,32887,WALCHANNAG
2022-04-12,EQ,67.75,67.8,64.2,67.5,66.2,66.15,65.74,92.0,39.45,663871,43643647.95,6864,WALCHANNAG
2022-04-11,EQ,64.5,68.0,64.25,64.15,67.35,67.5,66.34,92.0,39.45,1066089,70724302.25,8530,WALCHANNAG
