DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,16.6,16.7,16.05,16.25,16.15,16.15,16.3,18.7,8.15,3313612,54025500.45,5513,LSIL
2022-12-29,EQ,16.0,16.6,15.7,16.05,16.25,16.25,16.19,18.7,8.15,5940506,96179641.25,8530,LSIL
2022-12-28,EQ,16.0,17.3,15.1,16.0,16.05,16.05,16.53,18.7,8.15,9671035,159816672.45,11702,LSIL
2022-12-27,EQ,15.95,16.6,15.15,15.35,16.15,16.0,15.93,18.7,8.15,9550893,152172452.85,12446,LSIL
2022-12-26,EQ,13.45,15.7,13.3,13.1,15.65,15.35,14.85,18.7,8.15,11291365,167722417.75,14139,LSIL
2022-12-23,EQ,14.55,14.55,13.0,14.7,13.05,13.1,13.76,18.7,8.15,8056865,110823405.3,11145,LSIL
2022-12-22,EQ,15.15,15.85,14.0,15.15,14.7,14.7,14.66,18.7,8.15,10488414,153805764.35,12715,LSIL
2022-12-21,EQ,17.4,17.45,14.7,17.4,15.3,15.15,16.02,18.7,8.15,14005670,224303304.95,18719,LSIL
2022-12-20,EQ,17.3,18.7,17.05,17.25,17.2,17.4,17.88,18.7,8.15,25198730,450589130.2,26142,LSIL
2022-12-19,EQ,15.25,17.65,15.2,14.95,17.65,17.25,16.7,18.45,8.15,31925725,533211877.85,28156,LSIL
2022-12-16,EQ,14.2,15.2,14.15,14.6,15.0,14.95,14.88,18.45,8.15,6851404,101924462.8,7512,LSIL
2022-12-15,EQ,14.8,15.0,14.5,14.5,14.55,14.6,14.75,18.45,8.15,3352079,49452598.95,4364,LSIL
2022-12-14,EQ,14.85,14.85,14.35,14.6,14.5,14.5,14.55,18.45,8.15,2199092,32003632.4,3634,LSIL
2022-12-13,EQ,15.05,15.2,14.25,15.05,14.6,14.6,14.54,18.45,8.15,4819976,70087508.3,7263,LSIL
2022-12-12,EQ,14.65,15.25,14.55,14.5,14.9,15.05,14.93,18.45,8.15,7186881,107318535.9,9584,LSIL
2022-12-09,EQ,13.25,14.9,13.25,13.05,14.75,14.5,14.11,18.45,8.15,19116650,269682523.65,15294,LSIL
2022-12-08,EQ,13.15,13.25,12.95,13.05,13.1,13.05,13.09,18.45,8.15,1283605,16806737.15,2167,LSIL
2022-12-07,EQ,12.9,13.25,12.85,12.85,13.0,13.05,13.02,18.45,8.15,1819937,23688813.75,2911,LSIL
2022-12-06,EQ,12.9,12.9,12.8,12.9,12.85,12.85,12.85,18.45,8.15,739094,9498973.65,2080,LSIL
2022-12-05,EQ,13.0,13.05,12.85,12.9,12.9,12.9,12.95,18.45,8.15,1419481,18376022.05,3323,LSIL
2022-12-02,EQ,12.8,13.05,12.75,12.8,12.95,12.9,12.89,18.45,8.15,1471335,18958168.1,2847,LSIL
2022-12-01,EQ,12.65,12.95,12.6,12.6,12.85,12.8,12.77,18.45,8.15,1349985,17238217.8,2482,LSIL
2022-11-30,EQ,12.85,12.85,12.55,12.75,12.65,12.6,12.64,18.45,8.15,1007204,12734181.55,2576,LSIL
2022-11-29,EQ,13.0,13.05,12.7,12.85,12.8,12.75,12.84,18.45,8.15,1022598,13133274.9,2545,LSIL
2022-11-28,EQ,13.05,13.45,12.8,13.05,12.9,12.85,13.03,18.45,8.15,1453323,18932500.05,3168,LSIL
2022-11-25,EQ,12.3,13.6,12.3,12.4,13.05,13.05,13.28,18.45,8.15,5538782,73567523.35,5097,LSIL
2022-11-24,EQ,12.55,12.65,12.3,12.45,12.4,12.4,12.42,18.45,8.15,972050,12074259.8,2694,LSIL
