DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,78.1,80.0,78.1,78.55,79.0,79.5,79.28,113.65,65.35,1821,144364.35,38,BANARBEADS
2022-12-29,EQ,79.0,79.5,78.2,78.95,78.25,78.55,78.66,113.65,65.35,2427,190910.55,81,BANARBEADS
2022-12-28,EQ,80.15,80.3,78.75,79.25,78.75,78.95,79.17,113.65,65.35,5264,416752.85,89,BANARBEADS
2022-12-27,EQ,82.0,82.0,78.3,80.6,78.7,79.25,79.57,113.65,65.35,11430,909434.7,207,BANARBEADS
2022-12-26,EQ,80.2,83.35,80.05,80.1,80.15,80.6,80.82,113.65,65.35,5312,429309.85,129,BANARBEADS
2022-12-23,EQ,76.25,83.55,75.35,78.55,83.2,80.1,77.98,113.65,65.35,15405,1201341.65,599,BANARBEADS
2022-12-22,EQ,79.2,82.0,78.0,81.8,79.25,78.55,79.2,113.65,65.35,5537,438531.4,197,BANARBEADS
2022-12-21,EQ,83.7,84.15,81.45,83.6,82.25,81.8,82.72,113.65,65.35,9179,759285.8,168,BANARBEADS
2022-12-20,EQ,85.05,85.05,83.3,83.55,84.5,83.6,83.6,113.65,65.35,10463,874658.4,89,BANARBEADS
2022-12-19,EQ,84.0,84.2,83.5,83.6,83.55,83.55,83.73,113.65,65.35,8501,711756.1,90,BANARBEADS
2022-12-16,EQ,84.0,84.4,79.0,83.5,83.95,83.6,82.22,113.65,65.35,26309,2163224.15,369,BANARBEADS
2022-12-15,EQ,84.5,84.5,82.85,83.85,83.5,83.5,83.83,113.65,65.35,8246,691285.1,176,BANARBEADS
2022-12-14,EQ,80.55,85.8,80.5,80.55,83.55,83.85,84.57,113.65,65.35,81227,6869723.7,1210,BANARBEADS
2022-12-13,EQ,80.5,81.55,80.1,81.1,80.25,80.55,80.87,113.65,65.35,3422,276727.7,64,BANARBEADS
2022-12-12,EQ,82.9,82.9,80.5,82.1,81.15,81.1,81.39,113.65,65.35,7119,579410.35,137,BANARBEADS
2022-12-09,EQ,83.2,83.3,81.5,82.75,81.5,82.1,82.27,113.65,65.35,15516,1276441.7,145,BANARBEADS
