DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,290.9,295.85,289.1,288.9,290.15,290.85,292.09,329.4,178.9,2697390,787883803.2,19574,IRB
2022-12-29,EQ,289.3,291.3,285.25,290.85,288.15,288.9,288.54,329.4,178.9,1927688,556223070.6,16539,IRB
2022-12-28,EQ,295.0,296.7,288.3,295.7,290.5,290.85,292.52,329.4,178.9,3632551,1062584664.7,27774,IRB
2022-12-27,EQ,283.9,300.5,282.1,283.05,295.0,295.7,292.98,329.4,178.9,8429294,2469594126.1,60737,IRB
2022-12-26,EQ,269.95,288.85,261.8,269.45,282.0,283.05,281.74,329.4,178.9,7238474,2039379892.25,61710,IRB
2022-12-23,EQ,291.6,295.45,262.55,298.35,265.5,269.45,281.32,329.4,178.9,4949844,1392483853.8,43919,IRB
2022-12-22,EQ,299.1,306.5,279.0,297.6,294.7,298.35,294.39,329.4,178.9,10082738,2968248624.35,79489,IRB
2022-12-21,EQ,319.9,320.95,292.15,318.6,297.6,297.6,305.66,329.4,178.9,4587445,1402197019.8,43683,IRB
2022-12-20,EQ,317.0,322.55,313.45,312.8,317.25,318.6,318.39,329.4,178.9,5421999,1726313579.6,48268,IRB
2022-12-19,EQ,308.0,315.9,305.45,306.45,312.6,312.8,312.1,329.4,178.9,4496587,1403402847.95,39646,IRB
2022-12-16,EQ,309.0,315.9,303.0,309.65,304.5,306.45,310.02,329.4,178.9,4170652,1292991775.1,37666,IRB
2022-12-15,EQ,306.0,318.3,305.4,314.15,308.7,309.65,311.97,329.4,178.9,7387102,2304521288.8,49642,IRB
2022-12-14,EQ,310.0,329.4,304.4,310.6,308.0,314.15,319.12,329.4,178.9,22241076,7097540569.1,127674,IRB
2022-12-13,EQ,299.85,313.2,297.0,299.45,308.7,310.6,307.08,313.2,178.9,10368712,3184003727.3,66251,IRB
2022-12-12,EQ,282.95,303.5,277.6,283.2,298.3,299.45,297.12,303.5,178.9,11387154,3383327022.15,79815,IRB
2022-12-09,EQ,287.8,292.4,279.3,286.0,282.65,283.2,285.42,302.95,178.9,2267351,647152904.95,22868,IRB
2022-12-08,EQ,280.9,293.9,280.5,279.6,287.0,286.0,288.27,302.95,178.9,4325317,1246855365.45,33517,IRB
2022-12-07,EQ,284.6,285.3,277.55,283.95,280.0,279.6,280.67,302.95,178.9,1019098,286029767.55,12881,IRB
2022-12-06,EQ,280.5,288.75,280.3,276.95,283.4,283.95,284.69,302.95,178.9,3955356,1126051276.3,34830,IRB
2022-12-05,EQ,276.0,280.0,271.25,274.55,279.15,276.95,275.9,302.95,178.9,1284409,354371974.05,15318,IRB
2022-12-02,EQ,279.1,280.0,273.0,280.0,274.95,274.55,276.36,302.95,178.9,1516374,419064890.55,23435,IRB
2022-12-01,EQ,281.7,288.9,278.75,280.25,279.75,280.0,283.36,302.95,178.9,3494905,990308355.75,33340,IRB
2022-11-30,EQ,274.85,287.6,274.4,273.55,279.4,280.25,282.76,302.95,178.9,8767235,2478994213.15,73838,IRB
2022-11-29,EQ,261.0,280.0,259.95,260.75,274.0,273.55,273.8,302.95,178.9,12636863,3459986117.6,93560,IRB
2022-11-28,EQ,250.0,263.4,249.45,250.05,260.15,260.75,259.36,302.95,178.9,3980133,1032300774.25,33672,IRB
2022-11-25,EQ,250.7,256.85,248.7,249.55,250.0,250.05,252.72,302.95,178.9,1442449,364532700.75,16393,IRB
2022-11-24,EQ,248.55,254.0,248.0,247.35,248.1,249.55,251.42,302.95,178.9,979053,246155288.85,12052,IRB
2022-11-23,EQ,251.1,253.3,246.8,250.4,247.8,247.35,248.93,302.95,178.9,928632,231165531.75,10088,IRB
2022-11-22,EQ,250.0,254.45,249.0,250.75,250.5,250.4,251.6,302.95,178.9,556077,139909709.3,9374,IRB
2022-11-21,EQ,251.0,255.85,248.9,251.15,249.8,250.75,251.85,302.95,178.9,732816,184562687.25,8778,IRB
2022-11-18,EQ,249.4,253.0,247.0,249.4,250.5,251.15,250.11,302.95,178.9,833276,208413838.3,15302,IRB
2022-11-17,EQ,251.7,253.45,247.2,251.7,249.9,249.4,249.67,302.95,178.9,783678,195661372.5,12943,IRB
2022-11-16,EQ,256.0,258.95,248.1,255.9,252.45,251.7,254.19,302.95,178.9,1366549,347360497.65,17348,IRB
2022-11-15,EQ,246.45,261.8,245.7,246.25,256.1,255.9,257.16,302.95,178.9,4675043,1202236787.0,42224,IRB
2022-11-14,EQ,252.6,253.7,245.05,252.6,245.8,246.25,247.75,302.95,178.9,1185420,293682116.25,12141,IRB
2022-11-11,EQ,257.0,258.6,250.0,255.2,252.15,252.6,253.33,302.95,178.9,1908218,483415911.35,15871,IRB
2022-11-10,EQ,259.4,259.75,252.05,261.0,254.4,255.2,254.93,302.95,178.9,1403641,357835197.5,17666,IRB
2022-11-09,EQ,260.0,264.4,257.75,256.4,260.9,261.0,261.09,302.95,178.9,4696759,1226259635.6,50128,IRB
2022-11-07,EQ,239.9,261.25,237.55,237.15,257.2,256.4,252.17,302.95,178.9,8286892,2089703225.65,65829,IRB
2022-11-04,EQ,233.7,239.0,233.2,232.55,239.0,237.15,235.84,302.95,178.9,827741,195217769.05,9615,IRB
2022-11-03,EQ,232.95,234.25,231.7,233.7,233.05,232.55,232.72,302.95,178.9,496741,115601293.85,5817,IRB
2022-11-02,EQ,236.5,239.2,232.85,235.15,233.7,233.7,235.39,302.95,178.9,728137,171395817.9,10129,IRB
2022-11-01,EQ,235.0,237.85,233.0,233.75,235.1,235.15,235.27,302.95,178.9,732968,172447088.25,10039,IRB
2022-10-31,EQ,235.0,237.9,232.3,233.75,234.4,233.75,235.25,302.95,178.9,906686,213302097.7,10755,IRB
2022-10-28,EQ,237.3,239.35,232.75,236.1,234.6,233.75,234.95,345.85,178.9,700280,164532907.1,10149,IRB
2022-10-27,EQ,239.0,240.4,234.35,237.35,236.7,236.1,237.65,345.85,178.9,887774,210976774.8,13980,IRB
