DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO OF TRADES,SYMBOL
2022-12-30,EQ,773.0,777.5,765.25,769.4,770.6,768.05,771.56,790.0,520.05,2190914,1690427153.45,39979,JSWSTEEL
2022-12-29,EQ,756.0,771.45,752.5,761.7,770.0,769.4,761.43,790.0,520.05,2103907,1601982771.25,42234,JSWSTEEL
2022-12-28,EQ,761.0,767.1,757.15,764.95,763.2,761.7,761.87,790.0,520.05,1917734,1461069249.55,36108,JSWSTEEL
2022-12-27,EQ,735.9,769.3,734.45,732.2,763.65,764.95,758.42,790.0,520.05,4992699,3786576132.95,97227,JSWSTEEL
2022-12-26,EQ,727.55,737.35,723.25,727.85,730.3,732.2,733.6,790.0,520.05,1168456,857184573.85,30886,JSWSTEEL
2022-12-23,EQ,729.95,736.55,722.4,737.55,725.1,727.85,729.0,790.0,520.05,1687270,1230017824.7,35606,JSWSTEEL
2022-12-22,EQ,743.1,749.0,734.45,743.1,736.65,737.55,739.33,790.0,520.05,1403642,1037748710.35,36801,JSWSTEEL
2022-12-21,EQ,750.0,752.95,739.65,745.8,743.0,743.1,746.98,790.0,520.05,1605753,1199468889.15,29474,JSWSTEEL
2022-12-20,EQ,740.45,747.15,733.1,749.45,747.0,745.8,740.12,790.0,520.05,1512103,1119141523.85,31191,JSWSTEEL
2022-12-19,EQ,742.0,750.8,739.75,743.45,747.55,749.45,746.77,790.0,520.05,944749,705509723.7,27899,JSWSTEEL
2022-12-16,EQ,739.8,747.55,735.0,743.35,743.2,743.45,742.65,790.0,520.05,1498658,1112974786.65,38013,JSWSTEEL
2022-12-15,EQ,756.0,762.9,741.0,757.95,745.0,743.35,750.43,790.0,520.05,1690335,1268471499.8,39525,JSWSTEEL
2022-12-14,EQ,747.95,759.65,745.85,744.25,759.65,757.95,754.49,790.0,520.05,1471083,1109916981.2,28943,JSWSTEEL
2022-12-13,EQ,744.5,746.0,735.65,740.85,743.05,744.25,741.54,790.0,520.05,1201367,890857516.65,19741,JSWSTEEL
2022-12-12,EQ,738.0,742.0,727.5,740.4,742.0,740.85,736.99,790.0,520.05,1224081,902135421.25,28158,JSWSTEEL
2022-12-09,EQ,748.45,750.8,738.2,744.7,740.6,740.4,744.0,790.0,520.05,1338271,995674489.85,25566,JSWSTEEL
2022-12-08,EQ,738.15,746.7,736.05,738.15,744.75,744.7,741.95,790.0,520.05,1053397,781567228.05,25966,JSWSTEEL
2022-12-07,EQ,747.05,751.0,736.25,746.75,737.95,738.15,741.39,790.0,520.05,1162282,861707503.25,23011,JSWSTEEL
2022-12-06,EQ,754.95,755.75,740.2,756.6,747.0,746.75,746.32,790.0,520.05,1468238,1095779390.65,28989,JSWSTEEL
2022-12-05,EQ,746.45,759.0,746.0,743.05,754.1,756.6,754.91,790.0,520.05,2129340,1607462955.05,40253,JSWSTEEL
2022-12-02,EQ,746.65,751.3,740.55,746.3,745.0,743.05,744.17,790.0,520.05,1392199,1036034729.6,27681,JSWSTEEL
2022-12-01,EQ,747.15,752.95,743.1,743.4,746.0,746.3,747.89,790.0,520.05,1942307,1452640604.4,32901,JSWSTEEL
2022-11-30,EQ,734.1,745.65,731.1,732.55,743.9,743.4,741.5,790.0,520.05,3962572,2938238897.65,59195,JSWSTEEL
2022-11-29,EQ,714.5,735.9,713.85,715.65,731.1,732.55,727.51,790.0,520.05,3306817,2405749513.6,48251,JSWSTEEL
2022-11-28,EQ,718.5,724.75,710.0,726.2,716.1,715.65,715.17,790.0,520.05,2418509,1729636435.1,35986,JSWSTEEL
2022-11-25,EQ,722.0,728.6,720.1,725.95,725.55,726.2,725.46,790.0,520.05,1466688,1064021013.3,23650,JSWSTEEL
2022-11-24,EQ,722.0,728.45,717.1,720.55,726.25,725.95,723.03,790.0,520.05,1654760,1196446381.75,33980,JSWSTEEL
2022-11-23,EQ,710.1,722.0,708.0,708.25,718.55,720.55,716.47,790.0,520.05,1735389,1243349313.55,34759,JSWSTEEL
2022-11-22,EQ,696.5,709.9,691.0,696.55,709.7,708.25,699.97,790.0,520.05,2421572,1695018575.65,35654,JSWSTEEL
2022-11-21,EQ,720.0,722.85,692.65,708.2,696.0,696.55,702.71,790.0,520.05,3360316,2361339509.85,52864,JSWSTEEL
2022-11-18,EQ,710.0,711.6,701.2,708.6,709.5,708.2,705.84,790.0,520.05,893816,630892506.05,23802,JSWSTEEL
2022-11-17,EQ,705.0,712.95,697.55,708.25,706.9,708.6,706.07,790.0,520.05,1391449,982466445.95,30941,JSWSTEEL
2022-11-16,EQ,720.5,721.95,704.0,722.35,708.7,708.25,710.93,790.0,520.05,1395043,991771649.35,33165,JSWSTEEL
2022-11-15,EQ,720.4,724.85,712.8,719.4,723.8,722.35,718.23,790.0,520.05,1065114,764996218.1,20399,JSWSTEEL
2022-11-14,EQ,722.6,731.4,716.65,719.0,718.0,719.4,723.14,790.0,520.05,2089880,1511271267.3,43807,JSWSTEEL
2022-11-11,EQ,706.0,721.95,705.15,701.05,719.5,719.0,715.22,790.0,520.05,2607860,1865202377.85,49109,JSWSTEEL
2022-11-10,EQ,699.8,705.7,697.2,706.55,701.15,701.05,701.73,790.0,520.05,932886,654636726.9,28407,JSWSTEEL
2022-11-09,EQ,716.0,716.2,703.05,710.0,705.2,706.55,708.76,790.0,520.05,1632827,1157277879.7,31865,JSWSTEEL
2022-11-07,EQ,705.3,715.45,700.0,701.75,707.15,710.0,708.69,790.0,520.05,3121786,2212389458.4,62567,JSWSTEEL
2022-11-04,EQ,683.2,703.95,682.35,680.2,702.6,701.75,695.22,790.0,520.05,3624889,2520108192.25,61539,JSWSTEEL
2022-11-03,EQ,678.7,688.0,677.95,684.2,680.6,680.2,682.21,790.0,520.05,1639039,1118176685.2,22884,JSWSTEEL
2022-11-02,EQ,685.0,693.95,682.3,686.35,682.5,684.2,687.65,790.0,520.05,1912908,1315420436.55,32451,JSWSTEEL
2022-11-01,EQ,670.0,688.25,670.0,673.95,684.5,686.35,683.91,790.0,520.05,2846573,1946794838.55,55064,JSWSTEEL
2022-10-31,EQ,672.0,676.45,669.05,670.4,674.4,673.95,673.1,790.0,520.05,1380329,929101213.95,30001,JSWSTEEL
2022-10-28,EQ,676.6,678.45,663.45,679.6,670.0,670.4,668.33,790.0,520.05,2500826,1671373999.8,37156,JSWSTEEL
2022-10-27,EQ,650.0,683.0,648.0,644.35,682.0,679.6,672.86,790.0,520.05,8328955,5604206219.35,120081,JSWSTEEL
2022-10-25,EQ,624.2,650.95,624.2,629.6,644.3,644.35,641.86,790.0,520.05,4787246,3072723553.85,73360,JSWSTEEL
2022-10-24,EQ,622.0,633.95,620.55,622.05,630.5,629.6,628.26,790.0,520.05,834558,524321173.55,11363,JSWSTEEL
2022-10-21,EQ,630.1,630.5,616.5,628.4,619.8,622.05,621.75,790.0,520.05,2547197,1583707387.55,31150,JSWSTEEL
2022-10-20,EQ,618.6,630.0,615.0,625.9,628.0,628.4,623.98,790.0,520.05,2686775,1676481109.3,43441,JSWSTEEL
2022-10-19,EQ,639.95,639.95,625.0,636.75,625.3,625.9,630.27,790.0,520.05,2157157,1359582058.7,31222,JSWSTEEL
2022-10-18,EQ,634.6,638.5,631.15,631.45,637.25,636.75,635.55,790.0,520.05,1809430,1149979445.3,24562,JSWSTEEL
2022-10-17,EQ,633.15,636.25,624.0,640.25,631.95,631.45,630.05,790.0,520.05,2281559,1437486523.35,36603,JSWSTEEL
2022-10-14,EQ,658.0,659.5,639.0,648.35,639.75,640.25,646.08,790.0,520.05,1386827,895998583.7,34803,JSWSTEEL
2022-10-13,EQ,652.5,656.0,641.7,651.1,649.0,648.35,647.71,790.0,520.05,938662,607982221.05,22452,JSWSTEEL
2022-10-12,EQ,646.0,653.75,638.2,642.75,652.0,651.1,648.17,790.0,520.05,1530483,992012465.7,28746,JSWSTEEL
2022-10-11,EQ,669.35,669.35,640.0,666.0,640.4,642.75,651.01,790.0,520.05,1644047,1070282932.4,44346,JSWSTEEL
2022-10-10,EQ,655.65,668.0,654.5,666.05,665.2,666.0,660.16,790.0,520.05,1089870,719493811.3,31607,JSWSTEEL
2022-10-07,EQ,671.4,673.0,659.55,674.45,667.0,666.05,665.62,790.0,520.05,1601796,1066181710.1,39129,JSWSTEEL
2022-10-06,EQ,648.4,678.0,648.4,643.2,675.0,674.45,667.88,790.0,520.05,3704140,2473935890.9,74085,JSWSTEEL
2022-10-04,EQ,633.8,645.0,632.15,623.55,644.7,643.2,640.36,790.0,520.05,1384242,886417240.3,30000,JSWSTEEL
2022-10-03,EQ,631.0,631.0,621.25,631.65,623.5,623.55,624.97,790.0,520.05,1285991,803706879.45,34051,JSWSTEEL
2022-09-30,EQ,621.0,633.95,614.2,618.25,630.65,631.65,626.84,790.0,520.05,1588501,995731623.65,34914,JSWSTEEL
2022-09-29,EQ,620.5,628.0,617.05,616.5,617.55,618.25,620.7,790.0,520.05,3577828,2220770513.95,66366,JSWSTEEL
2022-09-28,EQ,629.1,632.5,615.0,637.0,615.1,616.5,623.85,790.0,520.05,2164186,1350135450.55,50136,JSWSTEEL
2022-09-27,EQ,649.4,650.95,633.0,646.15,638.95,637.0,639.41,790.0,520.05,2512782,1606693960.05,59913,JSWSTEEL
2022-09-26,EQ,659.2,661.95,638.0,669.0,647.95,646.15,647.96,790.0,520.05,2192702,1420788896.75,53382,JSWSTEEL
2022-09-23,EQ,681.5,686.95,667.0,679.35,668.45,669.0,672.8,790.0,520.05,1558314,1048439038.1,33008,JSWSTEEL
2022-09-22,EQ,681.0,687.0,674.0,684.85,679.55,679.35,680.88,790.0,520.05,1504203,1024183553.0,25465,JSWSTEEL
2022-09-21,EQ,685.2,692.5,682.0,689.0,685.5,684.85,687.52,790.0,520.05,1806929,1242305165.8,28460,JSWSTEEL
2022-09-20,EQ,683.35,698.25,682.05,679.95,688.65,689.0,692.13,790.0,520.05,1802967,1247881901.1,35103,JSWSTEEL
2022-09-19,EQ,682.0,691.5,675.35,685.85,676.35,679.95,684.69,790.0,520.05,1708723,1169952711.5,38679,JSWSTEEL
2022-09-16,EQ,685.0,694.5,679.0,689.65,683.6,685.85,686.76,790.0,520.05,4073365,2797439747.45,44128,JSWSTEEL
2022-09-15,EQ,692.1,698.0,684.5,692.85,689.0,689.65,691.39,790.0,520.05,2887795,1996593635.9,39856,JSWSTEEL
2022-09-14,EQ,685.0,701.8,682.0,691.05,691.5,692.85,691.72,790.0,520.05,2755630,1906128193.15,45043,JSWSTEEL
2022-09-13,EQ,690.0,697.95,686.6,686.55,690.0,691.05,692.66,790.0,520.05,2094822,1451006313.35,31584,JSWSTEEL
2022-09-12,EQ,687.3,694.4,681.45,686.95,685.05,686.55,686.52,790.0,520.05,2582240,1772767809.7,33056,JSWSTEEL
2022-09-09,EQ,687.0,701.75,685.1,685.35,687.0,686.95,692.1,790.0,520.05,3953738,2736367616.65,57850,JSWSTEEL
2022-09-08,EQ,687.0,691.1,679.3,684.6,684.0,685.35,685.07,790.0,520.05,1889770,1294630892.2,29248,JSWSTEEL
2022-09-07,EQ,678.0,687.75,675.8,684.55,684.35,684.6,682.47,790.0,520.05,2310672,1576955250.3,31970,JSWSTEEL
2022-09-06,EQ,682.0,687.0,678.5,681.95,685.6,684.55,683.05,790.0,520.05,3295941,2251285659.75,50232,JSWSTEEL
2022-09-05,EQ,662.0,683.55,662.0,661.4,682.0,681.95,676.7,790.0,520.05,4930594,3336512377.85,75258,JSWSTEEL
2022-09-02,EQ,660.0,669.0,654.0,661.6,661.0,661.4,661.73,790.0,520.05,2022058,1338048192.1,37068,JSWSTEEL
2022-09-01,EQ,655.0,669.8,653.25,666.9,661.95,661.6,663.34,790.0,520.05,2472832,1640320784.15,44039,JSWSTEEL
2022-08-30,EQ,652.85,668.0,651.5,649.6,664.1,666.9,662.23,790.0,520.05,2321586,1537416371.4,37405,JSWSTEEL
2022-08-29,EQ,654.0,659.95,642.6,667.0,651.0,649.6,647.82,790.0,520.05,2728484,1767566481.05,46686,JSWSTEEL
2022-08-26,EQ,656.0,670.55,654.0,648.7,667.1,667.0,665.44,790.0,520.05,3070661,2043353329.8,58501,JSWSTEEL
2022-08-25,EQ,654.0,659.85,647.05,651.5,648.8,648.7,655.01,790.0,520.05,1525852,999449542.6,30330,JSWSTEEL
2022-08-24,EQ,654.5,657.3,647.0,652.85,650.95,651.5,651.26,790.0,520.05,1781643,1160313132.35,30304,JSWSTEEL
2022-08-23,EQ,642.0,655.0,636.7,642.95,654.0,652.85,650.27,790.0,520.05,1751341,1138848982.45,39146,JSWSTEEL
2022-08-22,EQ,660.9,663.1,641.0,664.55,643.4,642.95,650.18,790.0,520.05,2303053,1497409100.0,52421,JSWSTEEL
2022-08-19,EQ,676.8,676.8,663.1,673.4,663.1,664.55,668.47,790.0,520.05,1961510,1311212957.8,27223,JSWSTEEL
2022-08-18,EQ,670.0,677.75,668.9,672.6,674.5,673.4,673.59,790.0,520.05,1806855,1217078228.3,30057,JSWSTEEL
2022-08-17,EQ,672.55,676.45,668.4,673.85,672.0,672.6,672.8,790.0,520.05,2349839,1580968383.1,39128,JSWSTEEL
2022-08-16,EQ,678.0,680.9,670.4,678.2,672.5,673.85,674.84,790.0,520.05,2747244,1853947521.45,35506,JSWSTEEL
2022-08-12,EQ,673.6,685.0,673.0,673.6,678.0,678.2,679.53,790.0,520.05,3476671,2362493426.65,49231,JSWSTEEL
2022-08-11,EQ,673.1,678.3,669.45,670.1,672.0,673.6,673.26,790.0,520.05,3480693,2343400776.65,46933,JSWSTEEL
2022-08-10,EQ,672.55,674.8,660.0,669.2,670.3,670.1,667.55,790.0,520.05,3252353,2171107282.65,58973,JSWSTEEL
2022-08-08,EQ,670.5,676.0,662.45,667.15,670.2,669.2,669.05,790.0,520.05,2446698,1636953122.85,42025,JSWSTEEL
2022-08-05,EQ,665.1,674.0,665.0,664.35,669.85,667.15,668.96,790.0,520.05,2455459,1642607981.5,39498,JSWSTEEL
2022-08-04,EQ,652.9,673.45,652.9,652.8,664.0,664.35,663.95,790.0,520.05,4705675,3124335450.95,75936,JSWSTEEL
2022-08-03,EQ,650.0,660.8,645.0,648.7,652.9,652.8,651.85,790.0,520.05,4446383,2898385659.5,69211,JSWSTEEL
2022-08-02,EQ,637.75,649.95,626.3,639.2,648.0,648.7,641.43,790.0,520.05,3053206,1958408667.05,55351,JSWSTEEL
2022-08-01,EQ,634.6,641.0,628.25,629.6,640.15,639.2,634.53,790.0,520.05,3055387,1938720554.65,50587,JSWSTEEL
2022-07-29,EQ,623.0,637.95,620.55,616.7,631.0,629.6,631.54,790.0,520.05,4732970,2989060106.9,64339,JSWSTEEL
2022-07-28,EQ,605.1,626.95,603.05,602.7,616.5,616.7,615.59,790.0,520.05,5104503,3142291763.45,70734,JSWSTEEL
2022-07-27,EQ,596.0,603.8,590.0,597.75,603.0,602.7,598.59,790.0,520.05,2913380,1743908666.1,47361,JSWSTEEL
2022-07-26,EQ,584.0,599.65,581.6,585.5,595.8,597.75,591.52,790.0,520.05,6031921,3568026122.25,70260,JSWSTEEL
2022-07-25,EQ,573.5,588.4,573.5,582.45,583.5,585.5,582.53,790.0,520.05,5783353,3368964867.75,73681,JSWSTEEL
2022-07-22,EQ,588.0,592.55,579.2,587.55,582.95,582.45,586.01,790.0,520.05,4351458,2549997802.1,54134,JSWSTEEL
2022-07-21,EQ,589.9,595.9,585.05,590.35,589.0,587.55,591.17,790.0,520.05,3773423,2230728914.15,42187,JSWSTEEL
2022-07-20,EQ,595.5,599.95,587.0,584.85,589.0,590.35,593.02,790.0,520.05,4550328,2698431189.2,52480,JSWSTEEL
2022-07-19,EQ,580.85,589.6,577.4,585.95,584.3,584.85,585.24,790.0,520.05,3586372,2098871866.2,39881,JSWSTEEL
2022-07-18,EQ,582.9,592.0,578.0,576.4,584.65,585.95,586.94,790.0,520.05,3583550,2103315883.5,40516,JSWSTEEL
2022-07-15,EQ,582.0,584.0,569.35,584.0,576.5,576.4,577.08,790.0,520.05,3051005,1760661545.0,36981,JSWSTEEL
2022-07-14,EQ,589.0,591.45,574.25,588.6,583.8,584.0,582.03,790.0,520.05,4660656,2712625932.85,57706,JSWSTEEL
2022-07-13,EQ,575.55,593.75,574.6,574.45,587.6,588.6,585.27,790.0,520.05,4569908,2674651496.1,59721,JSWSTEEL
2022-07-12,EQ,573.9,581.45,563.5,577.3,572.1,574.45,572.11,790.0,520.05,3425619,1959842898.3,44344,JSWSTEEL
2022-07-11,EQ,564.0,591.35,561.1,566.2,576.1,577.3,578.5,790.0,520.05,4900994,2835234539.8,60392,JSWSTEEL
2022-07-08,EQ,580.0,581.1,562.55,574.6,566.0,566.2,568.66,790.0,520.05,3313755,1884410065.45,54141,JSWSTEEL
2022-07-07,EQ,560.55,578.0,551.6,554.55,576.5,574.6,564.78,790.0,520.05,4952962,2797349792.75,53764,JSWSTEEL
2022-07-06,EQ,548.0,557.3,541.0,552.65,556.1,554.55,548.32,790.0,520.05,3281658,1799394603.3,54687,JSWSTEEL
2022-07-05,EQ,555.5,564.0,550.6,551.5,553.35,552.65,557.85,790.0,520.05,3562565,1987375833.5,53896,JSWSTEEL
2022-07-04,EQ,562.1,568.75,544.2,578.85,551.25,551.5,551.06,790.0,520.05,6026463,3320931913.25,82428,JSWSTEEL
2022-07-01,EQ,556.55,580.5,556.55,564.5,577.5,578.85,569.34,790.0,520.05,3737790,2128081803.05,49736,JSWSTEEL
2022-06-30,EQ,577.0,582.8,556.2,576.05,561.2,564.5,566.9,790.0,520.05,5646362,3200950849.0,90190,JSWSTEEL
2022-06-29,EQ,573.5,581.15,569.15,578.4,572.5,576.05,576.77,790.0,520.05,3334027,1922958248.45,46971,JSWSTEEL
2022-06-28,EQ,573.45,580.55,568.0,571.65,579.9,578.4,575.19,790.0,520.05,4285360,2464888167.45,53192,JSWSTEEL
2022-06-27,EQ,575.7,588.5,570.05,567.8,571.0,571.65,581.16,790.0,520.05,6550599,3806956433.75,73187,JSWSTEEL
2022-06-24,EQ,561.7,572.9,560.25,558.95,568.3,567.8,567.32,790.0,520.05,3406061,1932316914.25,45159,JSWSTEEL
2022-06-23,EQ,550.0,565.5,548.0,550.4,558.45,558.95,557.28,790.0,520.05,5037690,2807418946.9,55146,JSWSTEEL
2022-06-22,EQ,567.25,569.9,542.5,576.2,551.4,550.4,551.83,790.0,520.05,8511658,4697007955.35,80741,JSWSTEEL
2022-06-21,EQ,556.0,580.8,552.7,550.35,574.9,576.2,568.9,790.0,520.05,4657829,2649840657.55,51994,JSWSTEEL
2022-06-20,EQ,550.6,554.6,536.1,554.6,551.7,550.35,544.12,790.0,520.05,5614520,3054981646.85,68982,JSWSTEEL
2022-06-17,EQ,540.1,561.7,539.7,545.85,557.35,554.6,554.01,790.0,520.05,6776372,3754179325.1,78476,JSWSTEEL
2022-06-16,EQ,571.5,571.5,544.45,563.0,546.0,545.85,555.92,790.0,520.05,4899759,2723858427.7,59413,JSWSTEEL
2022-06-15,EQ,562.1,569.0,557.05,561.9,563.05,563.0,562.61,790.0,520.05,3803101,2139664596.9,48640,JSWSTEEL
2022-06-14,EQ,562.8,576.8,560.15,564.0,563.45,561.9,567.72,790.0,520.05,3413396,1937862988.4,49334,JSWSTEEL
2022-06-13,EQ,563.1,567.95,555.0,572.5,564.0,564.0,563.17,790.0,520.05,4071346,2292852220.55,54905,JSWSTEEL
2022-06-10,EQ,565.0,574.0,561.35,572.2,572.25,572.5,569.29,790.0,520.05,3374125,1920841088.3,44409,JSWSTEEL
2022-06-09,EQ,570.0,575.7,564.0,576.15,572.0,572.2,570.35,790.0,520.05,3922515,2237197700.3,53396,JSWSTEEL
2022-06-08,EQ,573.6,583.0,572.2,572.1,573.0,576.15,577.58,790.0,520.05,4138705,2390417695.75,58120,JSWSTEEL
2022-06-07,EQ,575.0,579.45,567.1,579.0,571.1,572.1,572.21,790.0,520.05,3735461,2137466499.65,51181,JSWSTEEL
2022-06-06,EQ,553.0,583.25,553.0,562.45,577.6,579.0,573.28,790.0,520.05,10383944,5952860316.05,104913,JSWSTEEL
2022-06-03,EQ,576.0,581.95,559.55,573.4,562.9,562.45,568.79,790.0,520.05,6367536,3621780756.55,71019,JSWSTEEL
2022-06-02,EQ,570.9,575.0,557.65,569.5,573.0,573.4,566.69,790.0,520.05,7010273,3972632022.7,95904,JSWSTEEL
2022-06-01,EQ,554.05,572.35,549.2,551.25,570.9,569.5,564.47,790.0,520.05,8495547,4795501180.85,108201,JSWSTEEL
2022-05-31,EQ,537.6,558.3,532.2,538.85,555.25,551.25,549.82,790.0,520.05,20152169,11080037542.8,126257,JSWSTEEL
2022-05-30,EQ,530.0,544.75,525.6,548.4,537.7,538.85,537.59,790.0,520.05,12211769,6564959364.95,173709,JSWSTEEL
2022-05-27,EQ,558.0,561.3,539.4,551.7,548.55,548.4,548.39,790.0,520.05,5193961,2848310310.85,73071,JSWSTEEL
2022-05-26,EQ,530.5,555.7,520.05,528.45,552.35,551.7,539.87,790.0,520.05,8178844,4415500606.9,103884,JSWSTEEL
2022-05-25,EQ,541.9,545.0,521.0,539.7,528.85,528.45,531.6,790.0,521.0,4725882,2512260826.6,71794,JSWSTEEL
2022-05-24,EQ,548.95,556.4,537.25,547.55,538.85,539.7,548.43,790.0,537.25,7517949,4123105049.5,93559,JSWSTEEL
2022-05-23,EQ,594.0,594.0,537.5,631.1,547.75,547.55,554.41,790.0,537.5,17554373,9732304667.35,270537,JSWSTEEL
2022-05-20,EQ,621.0,634.3,616.7,600.2,630.9,631.1,627.79,790.0,566.0,6187868,3884689663.55,92866,JSWSTEEL
2022-05-19,EQ,619.0,624.95,592.05,631.05,601.5,600.2,603.49,790.0,566.0,5816509,3510213059.15,76779,JSWSTEEL
2022-05-18,EQ,642.95,644.9,628.0,641.85,631.1,631.05,636.07,790.0,566.0,4941565,3143182657.7,71926,JSWSTEEL
2022-05-17,EQ,610.0,645.8,609.15,602.3,640.5,641.85,630.37,790.0,566.0,6309092,3977061051.3,106267,JSWSTEEL
2022-05-16,EQ,616.0,626.7,599.05,600.45,605.0,602.3,613.04,790.0,566.0,4641172,2845215122.1,83890,JSWSTEEL
2022-05-13,EQ,634.05,637.0,594.15,624.8,597.55,600.45,618.05,790.0,566.0,5567335,3440893238.35,88418,JSWSTEEL
2022-05-12,EQ,647.7,651.55,620.0,648.95,624.6,624.8,630.66,790.0,566.0,4123927,2600787467.6,66935,JSWSTEEL
2022-05-11,EQ,644.5,658.0,635.35,645.3,649.6,648.95,645.16,790.0,566.0,4158341,2682798498.8,69523,JSWSTEEL
2022-05-10,EQ,674.0,677.0,643.1,678.35,643.45,645.3,661.23,790.0,566.0,4293241,2838815709.0,76989,JSWSTEEL
2022-05-09,EQ,681.0,686.1,668.1,690.4,678.85,678.35,676.15,790.0,566.0,3380947,2286031912.8,43322,JSWSTEEL
2022-05-06,EQ,695.4,700.9,680.65,707.75,692.55,690.4,689.04,790.0,566.0,3930624,2708358967.5,67399,JSWSTEEL
2022-05-05,EQ,720.0,726.4,705.1,711.55,707.95,707.75,717.37,790.0,566.0,3131221,2246239363.0,42734,JSWSTEEL
2022-05-04,EQ,734.0,736.0,708.05,731.95,711.6,711.55,722.47,790.0,566.0,3011231,2175515635.4,50058,JSWSTEEL
2022-05-02,EQ,720.0,734.2,709.05,727.15,731.0,731.95,722.68,790.0,566.0,2802163,2025075893.75,47219,JSWSTEEL
2022-04-29,EQ,731.1,740.0,723.3,729.1,726.25,727.15,733.38,790.0,566.0,3622889,2656959853.25,44011,JSWSTEEL
2022-04-28,EQ,729.85,734.25,722.65,720.6,726.35,729.1,728.94,790.0,566.0,4079934,2974006907.05,45206,JSWSTEEL
2022-04-27,EQ,713.0,734.2,711.0,721.2,719.1,720.6,720.44,790.0,566.0,3391522,2443375215.5,43349,JSWSTEEL
2022-04-26,EQ,722.35,724.3,713.05,715.7,721.05,721.2,719.66,790.0,566.0,3260695,2346585715.55,46193,JSWSTEEL
2022-04-25,EQ,711.0,719.5,695.25,723.4,716.95,715.7,708.23,790.0,566.0,4935672,3495592636.55,63758,JSWSTEEL
2022-04-22,EQ,730.0,737.0,722.05,734.2,724.5,723.4,728.8,790.0,566.0,2244262,1635614946.75,47440,JSWSTEEL
2022-04-21,EQ,744.0,747.25,725.5,738.85,737.25,734.2,733.14,790.0,566.0,3995936,2929564080.35,63853,JSWSTEEL
2022-04-20,EQ,758.0,758.0,732.5,746.4,739.2,738.85,745.84,790.0,566.0,4679947,3490493967.1,77039,JSWSTEEL
2022-04-19,EQ,772.7,790.0,736.1,767.85,740.4,746.4,773.7,790.0,566.0,7301285,5648967931.9,113702,JSWSTEEL
2022-04-18,EQ,764.0,775.85,758.4,766.35,768.0,767.85,767.63,781.1,566.0,5866740,4503477863.1,88667,JSWSTEEL
2022-04-13,EQ,760.0,781.1,760.0,755.9,764.45,766.35,769.22,781.1,566.0,6722613,5171152322.35,110315,JSWSTEEL
2022-04-12,EQ,769.4,773.75,738.15,767.4,754.5,755.9,751.04,776.5,566.0,8595936,6455927752.25,101124,JSWSTEEL
2022-04-11,EQ,756.0,775.0,756.0,756.6,766.0,767.4,767.4,776.5,566.0,7926472,6082736755.05,105859,JSWSTEEL
2022-04-08,EQ,734.45,762.05,731.2,728.05,756.3,756.6,750.83,776.5,503.2,8125253,6100711762.45,118261,JSWSTEEL
2022-04-07,EQ,735.0,742.75,725.75,737.4,728.55,728.05,733.56,776.5,503.2,2954985,2167665903.7,55278,JSWSTEEL
2022-04-06,EQ,730.5,746.5,729.8,733.45,737.95,737.4,739.66,776.5,503.2,4111360,3040995480.4,64950,JSWSTEEL
2022-04-05,EQ,737.9,746.0,730.15,732.7,733.65,733.45,736.89,776.5,503.2,3524949,2597506464.0,64211,JSWSTEEL
2022-04-04,EQ,732.5,738.0,726.8,732.2,731.35,732.7,733.12,776.5,503.2,4901374,3593293474.6,56764,JSWSTEEL
2022-04-01,EQ,735.0,749.95,728.5,732.65,732.45,732.2,737.47,776.5,452.2,5079937,3746315504.25,73351,JSWSTEEL
2022-03-31,EQ,724.0,737.5,720.55,717.55,733.6,732.65,730.66,776.5,452.2,5946576,4344920674.9,75018,JSWSTEEL
2022-03-30,EQ,750.0,750.7,714.95,753.9,719.05,717.55,728.13,776.5,452.2,5994838,4365026011.2,91104,JSWSTEEL
2022-03-29,EQ,731.5,764.75,726.65,730.1,751.2,753.9,744.65,776.5,452.2,7285191,5424944491.6,90562,JSWSTEEL
2022-03-28,EQ,722.0,731.45,718.15,721.35,730.0,730.1,726.41,776.5,452.2,8935680,6490958226.9,105381,JSWSTEEL
2022-03-25,EQ,718.0,726.5,710.25,715.1,719.0,721.35,719.64,776.5,428.5,16121868,11601873729.05,135899,JSWSTEEL
2022-03-24,EQ,704.5,719.5,704.2,704.4,715.0,715.1,714.18,776.5,428.5,6069039,4334361782.35,82159,JSWSTEEL
2022-03-23,EQ,702.9,710.0,692.25,696.5,702.0,704.4,702.86,776.5,428.5,8964532,6300855658.4,112125,JSWSTEEL
2022-03-22,EQ,678.85,699.9,677.45,681.3,695.0,696.5,689.93,776.5,428.5,4811589,3319677088.8,70059,JSWSTEEL
2022-03-21,EQ,689.7,699.0,679.0,685.1,679.3,681.3,689.69,776.5,428.5,4609771,3179324191.5,66683,JSWSTEEL
2022-03-17,EQ,662.0,692.95,660.35,655.25,684.0,685.1,682.58,776.5,410.0,9991824,6820253106.75,117560,JSWSTEEL
2022-03-16,EQ,648.65,662.75,647.5,641.15,655.7,655.25,654.78,776.5,410.0,3150421,2062847379.75,46170,JSWSTEEL
2022-03-15,EQ,659.0,660.8,635.0,664.85,640.8,641.15,645.57,776.5,410.0,4754984,3069680627.7,87451,JSWSTEEL
